"r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","num.signal","adj.r.squared.original","quad.coeff","RMSE"
0.742768171727841,0.74275928711241,2.52795373887704,83601.6119638095,0,3,-135870.861049806,271749.722099612,271785.588542906,370044.80388228,57905,57908,0.44,-0.0176,2.52788825604702
0.786254696509379,0.78623778092664,2.83397086921917,46481.0883927956,0,3,-62190.6045793753,124389.209158751,124421.759442926,202969.310510994,25272,25275,0.58,-0.0132,2.83380267604598
0.176055303039422,0.176036656694329,5.764253117096,9441.81297531697,0,3,-280214.205623859,560436.411247719,560473.968806374,2936435.23868292,88376,88379,0.174,-0.0133,5.76415528330006
0.77198068218874,0.771925317537093,1.90243384760553,13943.5661421724,0,3,-16989.9777206155,33987.9554412309,34016.0224637226,29811.7996831715,8237,8240,0.399,-0.0124,1.90208749923704
0.779603246985761,0.779567618671339,2.55963440035858,21881.564133308,0,3,-29188.6865612297,58385.3731224594,58415.0668568091,81057.9820760097,12372,12375,0.768,0.0141,2.55932412283754
0.575999833122329,0.575884646986258,3.09324535932489,5000.60035668573,0,3,-18765.6933149516,37539.3866299032,37567.0046072188,70440.8443716755,7362,7365,0.119,-0.0099,3.09261530628662
0.0394983697546199,0.0394569661453242,7.23077206883593,953.983732977592,0,3,-157632.493815247,315272.987630494,315307.967849447,2425823.75041751,46397,46400,0.046,-0.0055,7.23053831165006
0.680336536784149,0.680320894227656,4.97298865714504,43492.6693141172,0,3,-123558.947857835,247125.895715669,247160.368713441,1010765.01406008,40871,40874,0.264,-0.0226,4.97280615433481
0.541343361506765,0.541329879536204,5.77711720035864,40153.1333307668,0,3,-215888.279160471,431784.558320943,431821.069901492,2270840.65730008,68040,68043,0.117,-0.0221,5.77698984307986
0.427807461462883,0.427797127948259,7.3378067144533,41399.9957434203,0,3,-377868.296939089,755744.593878178,755783.053928694,5962888.15015147,110745,110748,0.012,-0.0188,7.33770732859883
0.742845273784053,0.742829600307719,2.50272762639691,47395.0550562315,0,3,-76669.5042113723,153347.008422745,153380.603230556,205535.265797321,32814,32817,0.436,0.0175,2.50261322906505
0.827028809616986,0.827006732885603,2.56889423144601,37461.5605581529,0,3,-37024.6157226334,74057.2314452667,74087.8702243294,103409.739358828,15670,15673,0.626,-0.0133,2.56864836111112
0.161351638541036,0.161322152793951,5.83124906616762,5472.19095643337,0,3,-181025.773191975,362059.54638395,362095.341742756,1934287.14473356,56885,56888,0.177,-0.0128,5.83109530810055
0.815393947278791,0.815329579756922,1.66452775630329,12667.7852991485,0,3,-11066.046250669,22140.0925013381,22166.7126623705,15892.4636090272,5736,5739,0.449,-0.0131,1.66409264251823
0.829371460919057,0.829334817831098,2.12134759315148,22633.7764395764,0,3,-20223.4433166088,40454.8866332175,40483.4445877415,41909.5766849598,9313,9316,0.782,0.0139,2.12100600045023
0.608060094310701,0.607879268517995,3.04315391222173,3362.68452200739,0,3,-10981.5909567752,21971.1819135505,21996.682588316,40145.5061545943,4335,4338,0.142,-0.0103,3.04210146401034
0.0539736303566135,0.0538980570725711,7.44630766847765,714.189293749578,2.27397216166719e-302,3,-85798.5602206411,171605.120441282,171637.633200835,1388183.5572649,25036,25039,0.061,-0.0066,7.44586157254392
0.722147709467784,0.722122572426074,4.73986433902571,28728.4286601072,0,3,-65774.5791304659,131557.158260932,131589.173402027,496662.802544991,22107,22110,0.287,0.0231,4.73954276337223
0.54519131358284,0.545167762399016,5.78206199023629,23149.2105729003,0,3,-122585.793575352,245179.587150703,245213.833874319,1291253.43869466,38623,38626,0.123,-0.0218,5.78183744559286
0.417032838589956,0.417013807588196,7.25453703768811,21913.3413916627,0,3,-208344.35342854,416696.70685708,416732.798908931,3224273.26702477,61265,61268,0.012,-0.0178,7.25435942557792
0.7224905155642,0.722456310031791,2.58512510883147,21122.0368366487,0,3,-38440.3340175548,76888.6680351096,76919.4462552868,108436.278286173,16226,16229,0.403,0.0172,2.5848861620768
0.858927334128924,0.85889699592121,2.34668851004781,28311.7362179118,0,3,-21134.3922124358,42276.7844248716,42305.3367937027,51214.606757671,9300,9303,0.672,-0.0133,2.34631010344855
0.122315716374996,0.122261888876077,6.2359321346217,2272.36484754536,0,3,-105970.080872423,211948.161744845,211981.731732537,1268139.05190147,32611,32614,0.171,-0.0118,6.23564532180155
0.00923894523433272,0.00922133859062424,7.29438527408168,524.741988722331,1.45696932979713e-227,3,-383338.471571134,766684.943142268,766723.467647032,5988247.5137454,112544,112547,0.007,0.003,7.29428805557897
0.296641052162891,0.296624606823389,7.03424393958196,18038.0011081042,0,3,-288251.836425687,576511.672851374,576549.099902424,4232519.9999564,85539,85542,0.008,-0.0181,7.03412059130367
0.692886796716682,0.692880356799651,6.09111804548227,107592.503661065,0,3,-307675.6860094,615359.372018801,615397.234557505,3538687.7589786,95378,95381,0.002,0.0387,6.09102225335477
0.477845307374061,0.477834732517496,5.82751231974563,45186.9303779516,0,3,-314196.733674458,628401.467348915,628439.469019181,3353675.94848207,98754,98757,0.24,0.0212,5.82742380617327
0.586571803258707,0.586569066003411,8.48963012156892,214291.960328303,0,3,-1074726.76493879,2149461.52987757,2149504.00363974,21771699.0559873,302075,302078,0.028,-0.031,8.48958796531524
0.699709785437113,0.699702539576182,4.0997566109656,96566.8251297528,0,3,-234563.274614917,469134.549229834,469171.850260403,1393148.24185327,82886,82889,0.292,0.0196,4.09968241908777
0.258227120977796,0.258218796459195,7.93877239658099,31020.0665455709,0,3,-622100.080475265,1244208.16095053,1244248.52397928,11231778.2342528,178214,178217,0.11,-0.0154,7.93870557799068
0.362980773763392,0.362971076925406,6.7562186603496,37432.9007337817,0,3,-437448.61522749,874905.23045498,874944.374156095,5997355.4586827,131387,131390,0.05,-0.0188,6.75614152825553
0.74055294087677,0.740546520588501,5.55497862164371,115345.746135772,0,3,-253271.262276978,506550.524553957,506587.724670877,2493957.24248025,80821,80824,0.731,0.0144,5.55487552670589
0.203995772721526,0.203951571137425,5.97188464780976,4615.12357241592,0,3,-115478.659458351,230965.318916703,230999.286235178,1284488.90278905,36017,36020,0.149,0.006,5.97163595226569
0.286782538751927,0.286771901653325,6.43753845667136,26960.5979495621,0,3,-440001.811300669,880011.622601338,880050.848055099,5557358.97520856,134100,134103,0.193,0.0101,6.43746644961939
0.00499113782123772,0.00496229489458566,7.29637094553562,173.045470782163,1.08434742767441e-75,3,-235027.465599136,470062.931198273,470099.498529463,3673088.81412021,68995,68998,0.009,0.0022,7.29621232245398
0.338780837108401,0.33875598531794,6.91970051991578,13632.0494752545,0,3,-178448.299433728,356904.598867456,356940.127324984,2547958.45049788,53213,53216,0.008,-0.0195,6.91950547148922
0.706024426695555,0.706014824514526,6.02076788033309,73527.5063588794,0,3,-196813.96553972,393635.931079441,393672.02091092,2219602.06619559,61231,61234,0.002,-0.0393,6.02062039262303
0.490549028499258,0.490533356219206,5.72989915842831,31300.4251379426,0,3,-205750.504367222,411509.008734443,411545.338289133,2134490.19645099,65013,65016,0.251,0.0214,5.72976696100172
0.609971253832756,0.609967356273585,8.33613795140208,156500.83223576,0,3,-708412.367394105,1416832.73478821,1416873.56193777,13907967.9563935,200140,200143,0.032,-0.0314,8.33607547480392
0.728172635308893,0.728161674528059,3.93876693179983,66434.3760098682,0,3,-138381.259177939,276770.518355878,276805.765582257,769488.693174778,49600,49603,0.308,0.02,3.93864782126757
0.272522736003167,0.272509509264065,7.77260783127293,20603.9246631458,0,3,-381662.247800978,763332.495601956,763370.928689987,6645537.98829667,110001,110004,0.113,-0.0157,7.77250184429756
0.42100206225552,0.420987958586172,6.4282769639703,29850.5340608022,0,3,-269286.876800737,538581.753601474,538619.016813121,3392845.27843283,82106,82109,0.052,-0.0201,6.42815952856708
0.749902140089993,0.749891877349276,5.42289759184512,73070.3581769908,0,3,-151565.103224456,303138.206448912,303173.383634354,1433307.65571622,48739,48742,0.739,0.0145,5.42273070350332
0.268340975451586,0.2682761293092,5.53564198456655,4138.11779044066,0,3,-70642.7667574945,141293.533514989,141325.630845238,691497.434003124,22566,22569,0.203,0.0067,5.53527405781167
0.282972560936866,0.282954934243673,6.46621869832044,16053.6385261775,0,3,-267309.223599664,534626.447199327,534663.67375545,3401697.60299408,81357,81360,0.183,0.0099,6.46609948227496
0.00197094400673728,0.00191498342157959,7.53303602424664,35.2202179656715,5.23766027572939e-16,3,-122647.278936704,245302.557873409,245336.486358794,2024095.60762672,35669,35672,0.016,-0.0014,7.53271925502658
0.368616977342332,0.368573173885786,6.88562810566808,8415.24862206057,0,3,-96535.496356897,193078.992713794,193112.069539699,1366789.51547897,28828,28831,0.005,-0.0203,6.88526985549108
0.69522824542592,0.695211733791151,6.11285938354113,42105.355110762,0,3,-119222.251653216,238452.503306431,238486.569232842,1379442.01200222,36916,36919,0.002,-0.0392,6.11261101615971
0.489838227082269,0.489811245816513,5.61807748189371,18154.7534318396,0,3,-118936.533996331,237881.067992663,237915.230260266,1193578.6403123,37816,37819,0.247,0.0206,5.61785464989524
0.589058891655176,0.589051927672964,8.56498460083581,84586.5014749476,0,3,-420938.227953273,841884.455906546,841923.170411853,8657751.24334448,118019,118022,0.029,-0.03,8.56487574351646
0.753749243414352,0.753728014900853,3.90690535975032,35506.4542535342,0,3,-64541.9166723616,129091.833344723,129124.041492162,354122.700169062,23200,23203,0.332,0.0204,3.90665278260604
