"","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","num.signal","adj.r.squared.original","quad.coeff","RMSE","Sample","threshold","Sample_id"
"41",0.635088583125923,0.635070365791947,4.38386607142172,34861.7741740464,0,3,-116061.577782753,232131.155565506,232165.548599162,769922.802753893,40062,40065,0.518,-0.0132,4.38370194007995,"YouToo_AT_06",0.42,6
"42",0.52791890974963,0.527882346911056,3.95937775380613,14438.6740837624,0,3,-72182.8262353929,144373.652470786,144406.289018847,404818.706151779,25823,25826,0.304,-0.0105,3.95914778249373,"YouToo_AT_112",0.42,7
"43",0.801943158526688,0.801927962543915,2.50094883959348,52773.3658625773,0,3,-60887.8194763896,121783.638952779,121816.313114807,163042.440476447,26067,26070,0.637,-0.0143,2.50080493736144,"YouToo_AT_152",0.42,8
"44",0.618453508550693,0.618413643699429,3.7818898956306,15513.7543208811,0,3,-52631.2138443869,105270.427688774,105301.866876229,273782.114618723,19142,19145,0.591,-0.0121,3.7815935750721,"YouToo_AT_172",0.42,9
"45",0.728044022167397,0.727994281705059,2.13171490874717,14636.8567549944,0,3,-23798.1145601468,47604.2291202936,47633.4291132693,49690.9194245333,10935,10938,0.362,-0.0118,2.13142255259017,"YouToo_AT_19",0.42,10
"46",0.74932798042792,0.749294947283086,2.84644385065556,22684.1248145057,0,3,-37417.336117612,74842.6722352239,74873.1831714278,122967.735863326,15177,15180,0.745,-0.0142,2.84616256760229,"YouToo_AT_21",0.42,11
"47",0.543030676729788,0.542944820586384,3.19541661555032,6324.89016157708,0,3,-27477.3249686168,54962.6499372337,54991.742446674,108692.766808124,10645,10648,0.099,-0.0097,3.19496644062749,"YouToo_AT_24",0.42,12
"48",0.0376122510236232,0.0375838318247993,7.20520122805487,1323.48034357121,0,3,-229860.01845426,459728.036908519,459764.530105546,3516094.02257151,67728,67731,0.042,-0.0053,7.20504165678732,"YouToo_AT_317",0.42,13
"49",0.653412374460354,0.653400586367041,5.09227607490019,55429.8610568787,0,3,-179160.589615166,358329.179230331,358365.107227009,1524836.80045932,58803,58806,0.244,-0.022,5.09214618149589,"YouToo_AT_318",0.42,14
"50",0.491063066887718,0.491052514488603,6.10463677401243,46535.6798525685,0,3,-311376.595718544,622761.191437088,622799.099054798,3594698.01856745,96459,96462,0.113,-0.0214,6.10454184516627,"YouToo_AT_319",0.42,15
"51",0.422135642666143,0.422128376856691,7.38779509676599,58098.9145747346,0,3,-543811.647260886,1087631.29452177,1087671.20284488,8681636.19534522,159064,159067,0.01,-0.0188,7.38772542961381,"YouToo_AT_320",0.42,16
"52",0.74643038044313,0.746420390110819,2.50287256436599,74715.2704425943,0,3,-118607.046781196,237222.093562391,237257.433490864,317998.268801846,50763,50766,0.443,0.0176,2.5027986100597,"YouToo_AT_321",0.42,17
"53",0.797941896888744,0.797923955306155,2.74914250168213,44474.4432635447,0,3,-54744.2365652113,109496.473130423,109528.563009898,170231.537955358,22524,22527,0.59,-0.0132,2.74895943908817,"YouToo_AT_323",0.42,18
"54",0.174765873835554,0.174745144518142,5.76179330611938,8430.85521648311,0,3,-252418.323146637,504844.646293274,504881.786526374,2643245.62859644,79620,79623,0.175,-0.0133,5.76168475995346,"YouToo_AT_324",0.42,19
"55",0.00894119058833278,0.00892147194906856,7.27306217540706,453.438519189772,9.06076068953417e-197,3,-342089.923929721,684187.847859441,684225.920426785,5317250.0061055,100520,100523,0.007,0.0029,7.27295364626785,"YouToo_AT_325",0.42,20
"56",0.308237966955912,0.308219909291606,7.00425816737392,17069.6476433796,0,3,-257859.80051834,515727.601036681,515764.587490354,3758801.86135426,76617,76620,0.009,0.0185,7.00412104273158,"YouToo_AT_326",0.42,21
"57",0.698134630214732,0.698127586255059,6.05441921041983,99111.1054965315,0,3,-275967.739449499,551943.478898998,551980.913891471,3141748.41622819,85709,85712,0.002,0.0389,6.05431325433103,"YouToo_AT_327",0.42,22
"58",0.483258553499858,0.483247010461057,5.79160290122634,41865.7999697445,0,3,-284306.42502237,568620.85004474,568658.459628972,3003175.35072912,89533,89536,0.244,0.0213,5.79150587347076,"YouToo_AT_328",0.42,23
"59",0.595120842012495,0.595117888953467,8.42214729169469,201526.903606733,0,3,-973400.726474995,1946809.45294999,1946851.53959181,19450418.6494727,274210,274213,0.029,-0.0312,8.42210122073712,"YouToo_AT_329",0.42,24
"60",0.706744444651106,0.706736549127027,4.04709118113323,89512.037144535,0,3,-209260.293643599,418528.587287198,418565.450052195,1216693.70105814,74284,74287,0.295,0.0197,4.04700946161215,"YouToo_AT_330",0.42,25
"61",0.263329486804321,0.263320247123487,7.89545753101984,28499.8466442553,0,3,-555756.144098048,1111520.2881961,1111560.20641472,9940332.60856579,159458,159461,0.111,-0.0156,7.89538326055873,"YouToo_AT_331",0.42,26
"62",0.383203546804584,0.383193109786576,6.64329718086537,36715.8077647629,0,3,-391531.610273407,783071.220546813,783109.940978825,5216302.77623073,118194,118197,0.05,-0.0193,6.64321287238882,"YouToo_AT_332",0.42,27
