"","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","num.signal","adj.r.squared.original","quad.coeff","RMSE","Sample","threshold"
"359",0.94987743981862,0.949875530023986,1.41573791108732,497371.5093129,0,3,-92732.0783971906,185472.156794381,185507.630534807,105206.43308839,52490,693,0.495,0.0109,1.41569745546069,15,0.78
"360",0.920394743116196,0.920391502717405,1.73460607584806,284037.491264779,0,3,-96782.6066062317,193573.213212463,193608.422601434,147834.231825784,49133,693,0.495,0.012,1.73455312182596,16,0.78
"361",0.910656869380359,0.910655101644647,1.47998590584861,515154.422238642,0,3,-183060.513404928,366129.026809856,366167.121677961,221405.795811649,101082,693,0.495,-0.006,1.47996394417942,17,0.78
"362",0.884917152541654,0.884915642852525,2.72178089121841,586158.52465842,0,3,-368990.834586695,737989.669173389,738029.407856044,1129430.17927974,152459,693,0.495,0.0168,2.72175411279873,18,0.78
"363",0.878675065768698,0.878673594164527,3.49317763170951,597086.555877516,0,3,-440216.305172558,880440.610345116,880480.66250483,2012011.18802521,164888,693,0.495,0.0209,3.4931458544125,19,0.78
"364",0.769219533055064,0.769215242418536,4.92098956483927,179278.652011327,0,3,-324068.637252611,648145.274505222,648183.618353819,2605026.86118912,107574,693,0.495,-0.0249,4.9209209485383,20,0.78
"365",0.936402533822244,0.936399251880549,1.33125909456752,285319.673738105,0,3,-66085.06448159,132178.12896318,132212.389436244,68685.3511083243,38756,693,0.495,0.0177,1.33120757292651,21,0.78
"366",0.780447273391727,0.780441973194337,2.49031168241295,147248.718468541,0,3,-193150.550000542,386309.100001083,386346.399149175,513788.286073521,82847,693,0.495,-0.0127,2.49026659488924,22,0.78
"367",0.874013493354794,0.874011705196132,2.88815872014202,488778.491661975,0,3,-349405.374861024,698818.749722048,698858.173370651,1175411.9232255,140912,693,0.495,-0.0282,2.88812797635223,23,0.78
"368",0.936916952557864,0.93691528693289,1.39886927649147,562501.743994674,0,3,-132909.660846491,265827.321692982,265864.262467875,148224.399887157,75747,693,0.495,0.0215,1.39884157583549,24,0.78
"369",0.917743009530783,0.91774166545133,2.93991395104576,682804.136054526,0,3,-305675.321342188,611358.642684377,611397.502948332,1057906.06734731,122399,693,0.495,0.0311,2.93987792305645,25,0.78
"370",0.841610671115607,0.84160936377138,2.56006783654068,643755.985085508,0,3,-571601.075579104,1143210.15115821,1143251.74305092,1588067.31513061,242307,693,0.495,0.0079,2.56005198860358,26,0.78
"371",0.69180101825335,0.691791698800008,3.29781144322987,74231.9310871511,0,3,-172779.696872262,345567.393744523,345603.792102373,719320.434800887,66141,693,0.495,0.0136,3.2977366552936,27,0.78
"372",0.910696207561304,0.910694717935822,2.23234424784538,611359.176362893,0,3,-266424.08471296,532856.169425921,532894.947212727,597509.948183357,119901,693,0.495,0.0131,2.23231632102629,28,0.78
"373",0.954166850327855,0.954165920517341,1.4409524623993,1026194.9460086,0,3,-175905.219337647,351818.438675293,351856.433535183,204698.449475022,98586,693,0.495,0.0199,1.44093053860317,29,0.78
"374",0.848027351106061,0.848024733843678,1.97187584692708,324013.120216218,0,3,-243638.785990605,487285.57198121,487324.221981114,451551.511821146,116131,693,0.495,-0.0073,1.97185037778908,30,0.78
"375",0.823644866322009,0.823642099619777,1.78618926656995,297699.136816507,0,3,-254847.942935489,509703.885870978,509742.908949688,406734.144687702,127484,693,0.495,0.0121,1.78616825031212,31,0.78
